2023_10_25__17_11_42: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_25__17_11_42.txt' created successfully. 
2023_10_25__17_11_42: 197 Server: listening on port 22
2023_10_25__17_11_44: 212 Server: start receive data, blocking
2023_10_25__17_15_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_15_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_15_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_15_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_15_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_15_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_15_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_15_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_15_51: 349 Server: send aknowledge msg to client: [whisper]  scanner start
2023_10_25__17_15_51: 212 Server: start receive data, blocking
2023_10_25__17_15_51: 222 Server: received whisper message: [whisper]: abella[whisper]:  I praise that[whisper]:  ... Autonomous[whisper]:  Te quereso toguada.[whisper]:  See now, but I[whisper]: [whisper]:  Quite a long way to go.[whisper]:  No my you know[whisper]: [whisper]:  Alright, probably not too hot, miss I.[whisper]:  well, i really think so, field model is better...[whisper]:  The interviewGearnc narrows down to 1000 companies of the beholden and paper based3 companies. The seem fairly linear with the[whisper]:  ask any questions about it.[whisper]:  I'm[whisper]:  No[whisper]:  Thank you.
2023_10_25__17_15_51: 227 Server: filtered whisper message: [whisper] abella[whisper]  i praise that[whisper]   autonomous[whisper]  te quereso toguada[whisper]  see now but i[whisper] [whisper]  quite a long way to go[whisper]  no my you know[whisper] [whisper]  alright probably not too hot miss i[whisper]  well i really think so field model is better[whisper]  the interviewgearnc narrows down to 1000 companies of the beholden and paper based3 companies the seem fairly linear with the[whisper]  ask any questions about it[whisper]  i'm[whisper]  no[whisper]  thank you
2023_10_25__17_15_51: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__17_15_51: 357 Server: send msg: Error: cmd not recognized
2023_10_25__17_15_51: 212 Server: start receive data, blocking
2023_10_25__17_15_59: 222 Server: received whisper message: [whisper]:  Oh, what the fuck?
2023_10_25__17_15_59: 227 Server: filtered whisper message: [whisper]  oh what the fuck
2023_10_25__17_15_59: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__17_15_59: 357 Server: send msg: Error: cmd not recognized
2023_10_25__17_15_59: 212 Server: start receive data, blocking
2023_10_25__17_16_05: 222 Server: received whisper message: [whisper]:  Come on
2023_10_25__17_16_05: 227 Server: filtered whisper message: [whisper]  come on
2023_10_25__17_16_05: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__17_16_05: 357 Server: send msg: Error: cmd not recognized
2023_10_25__17_16_05: 212 Server: start receive data, blocking
2023_10_25__17_16_09: 222 Server: received whisper message: [whisper]:  Scan the stuff.
2023_10_25__17_16_09: 227 Server: filtered whisper message: [whisper]  scan the stuff
2023_10_25__17_16_09: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__17_16_09: 357 Server: send msg: Error: cmd not recognized
2023_10_25__17_16_09: 212 Server: start receive data, blocking
2023_10_25__17_16_25: 222 Server: received whisper message: [whisper]:  Thanks.
2023_10_25__17_16_25: 227 Server: filtered whisper message: [whisper]  thanks
2023_10_25__17_16_25: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__17_16_25: 357 Server: send msg: Error: cmd not recognized
2023_10_25__17_16_25: 212 Server: start receive data, blocking
2023_10_25__17_16_27: 222 Server: received whisper message: [whisper]:  Thank you.
2023_10_25__17_16_27: 227 Server: filtered whisper message: [whisper]  thank you
2023_10_25__17_16_27: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__17_16_27: 357 Server: send msg: Error: cmd not recognized
2023_10_25__17_16_27: 212 Server: start receive data, blocking
